"Coffee_Shop","Ambiance","Drink_Quality","Price","Customer_Service"
"7Leaves",5,5,1,4
"7Leaves",2,3,3,1
"7Leaves",1,1,3,3
"7Leaves",4,4,1,4
"7Leaves",2,1,2,3
"7Leaves",3,4,3,1
"7Leaves",1,1,3,4
"7Leaves",2,2,1,5
"7Leaves",5,3,3,4
"7Leaves",2,5,1,5
"7Leaves",4,2,1,3
"7Leaves",3,1,3,4
"7Leaves",4,5,2,4
"7Leaves",2,3,1,4
"7Leaves",1,2,2,1
"7Leaves",4,5,5,3
"7Leaves",4,2,1,3
"7Leaves",1,4,1,2
"7Leaves",5,1,2,1
"7Leaves",2,3,4,3
"7Leaves",2,4,4,4
"7Leaves",5,2,2,5
"7Leaves",2,3,3,1
"7Leaves",4,1,5,4
"7Leaves",3,1,5,3
"7Leaves",2,4,5,3
"7Leaves",2,2,2,5
"7Leaves",2,5,1,3
"7Leaves",2,4,3,2
"7Leaves",1,3,3,5
"7Leaves",3,1,1,1
"7Leaves",4,3,5,5
"7Leaves",3,5,3,2
"7Leaves",2,5,5,1
"7Leaves",5,2,3,4
"7Leaves",4,1,2,2
"7Leaves",3,3,1,5
"7Leaves",5,4,2,3
"7Leaves",2,2,4,2
"Starbucks",1,2,1,2
"Starbucks",5,2,2,1
"Starbucks",3,1,4,4
"Starbucks",2,1,2,5
"Starbucks",2,5,1,5
"Starbucks",5,1,4,3
"Starbucks",1,4,4,3
"Starbucks",4,4,3,3
"Starbucks",4,4,2,1
"Starbucks",2,2,1,1
"Starbucks",5,3,1,1
"Starbucks",2,2,2,2
"Starbucks",3,1,3,1
"Starbucks",4,2,3,1
"Starbucks",3,5,2,3
"Starbucks",3,3,5,3
"Starbucks",1,5,1,5
"Starbucks",2,4,3,2
"Starbucks",4,4,3,2
"Starbucks",4,5,2,3
"Starbucks",4,1,5,1
"Starbucks",3,4,4,4
"Starbucks",5,3,5,5
"Starbucks",5,4,5,2
"Starbucks",1,2,3,1
"Starbucks",2,5,1,3
"Starbucks",5,2,3,5
"Starbucks",3,2,2,5
"Starbucks",1,3,4,4
"Starbucks",3,5,2,5
"Starbucks",1,4,5,1
"Starbucks",1,5,5,4
"Starbucks",2,4,2,3
"Starbucks",3,5,2,3
"Starbucks",5,1,2,1
"Starbucks",5,3,1,3
"Starbucks",1,3,4,2
"Starbucks",3,2,4,2
"Starbucks",2,2,2,5
"Starbucks",2,2,5,2
"Starbucks",2,5,1,2
"Starbucks",2,4,1,4
"Starbucks",4,5,1,3
"Starbucks",1,4,5,1
"Starbucks",1,5,4,4
"Starbucks",2,1,3,1
"Starbucks",3,1,1,2
"Starbucks",3,3,3,1
"Starbucks",2,3,4,2
"Starbucks",1,4,5,2
"Starbucks",3,2,3,1
"Starbucks",3,1,4,5
"Starbucks",2,4,3,3
"Starbucks",5,3,5,4
"Starbucks",1,5,5,5
"Starbucks",3,3,5,1
"Starbucks",2,5,3,1
"Starbucks",3,3,4,1
"Starbucks",1,5,1,1
"Starbucks",3,5,3,4
